序號,門,綱,目,科,屬,中名,性狀簡述,分布簡述
505,木蘭植物門,木蘭綱,牻牛兒苗目,酢漿草科,酢漿草屬,紫花酢漿草,"無地上莖，具許多球莖。葉基生，具長柄，先端葉緣處具橙色腺點；小葉寬倒心形，長寬均可達4 cm。花莖較葉略長，具少數花至多朵花，於尖端排成繖形。",全島低至中海拔荒地，極常見。
506,木蘭植物門,木蘭綱,牻牛兒苗目,酢漿草科,酢漿草屬,酢漿草,"莖蔓性或斜上昇。葉互生，具長柄；小葉寬倒心形，長寬通常均不長於2 cm。花黃色，1至數朵簇生花莖頂，成繖形狀。果圓柱狀，長0.5-2 cm，具5稜。",全省低至中海拔荒地，極常見。
507,木蘭植物門,木蘭綱,牻牛兒苗目,鳳仙花科,鳳仙花屬,紫花鳳仙花,"莖有翼。葉面具剛毛，橢圓至披針狀橢圓形，長1-10 cm，寬1-5 cm，先端漸尖或尾尖。花通常單生稀2朵腋生；花距末端2淺裂；翼瓣通常3裂。       小草本，單葉互生，葉緣有鋸齒。7~10月開花，花粉紅或紫紅，似懸吊之燈籠     或小船。喜陰溼之處，可見之於山溝、溪谷兩側或路旁草叢下。",特產中高海拔潮濕處或小山溝中。
508,木蘭植物門,木蘭綱,牻牛兒苗目,鳳仙花科,鳳仙花屬,黃花鳳仙花,"葉橢圓狀披針形，長4-10 cm，寬可達5 cm，先端漸尖。花通常單生葉腋，黃色，裡面帶紅或粉紅色斑點；花距末端2裂；翼瓣2裂。       直立草本。單葉互生，葉橢圓狀披針形，長4 ~ 10 cm，寬可達5 cm，鋸齒緣，先端漸尖。花通常單生葉腋，黃色具明顯花距；花距末端彎曲2裂。",特產中、北部中高海拔潮濕處。
509,木蘭植物門,木蘭綱,牻牛兒苗目,鳳仙花科,鳳仙花屬,棣慕華鳳仙花,"葉橢圓至長橢圓形，長5-14 cm，寬2-5 cm，先端尾尖。總狀花序3-6朵花。花冠淡紫紅色(原始描述為黃色)；花距末端不裂；翼瓣2裂。      直立草本。葉橢圓至長橢圓形，長5 ~ 14 cm，寬2 ~ 5 cm，鋸齒緣，先端尾狀尖。總狀花序3 ~ 6朵花；花冠淡紫紅色具明顯花距，花距末端不裂。",特產北部中海拔略陰濕處。
510,木蘭植物門,木蘭綱,玄參目,列當科,假野菰屬,假野菰,"屬特徵:莖極短。花近簇生於莖上端，白色；萼筒4或5裂；花冠筒筒狀；雄蕊4，花藥具不孕性1室；子房1室。 種特徵:莖肉質，具卵狀鱗片。花2-4朵簇生。       生於地面矮小之寄生植物，全株顯而易見者為花，花冠白色，合生，4~7朵簇生。性喜陰涼，合歡山區7-8月間，於2800m上下路旁邊坡之玉山箭竹下偶可見之。",僅發現於思源啞口往南湖大山途中，寄生於箭竹根莖上。
511,木蘭植物門,木蘭綱,玄參目,列當科,列當屬,列當,"屬特徵:穗狀花序，具苞片。花萼筒4或5裂；花冠上唇直立。 種特徵:莖直立，短，被長柔毛；鱗片披針形，被柔毛。花藍紫或灰藍色。",全島海岸邊至高海拔之草生地上。
512,木蘭植物門,木蘭綱,玄參目,列當科,肉蓯蓉屬,丁座草,屬特徵:花序總狀，具苞片。花萼杯狀，3-5齒裂；雄蕊4，花藥具孕性，2室。蒴果，2或3瓣裂。,中央山脈中至高海拔山區，寄生於杜鵑屬植物根上。
513,木蘭植物門,木蘭綱,玄參目,列當科,野菰屬,野菰,"屬特徵:莖極短，具數鱗片。花梗長於5 cm；萼片苞片狀；2室之花藥僅1室發育。蒴果，2瓣裂。 種特徵:莖上鱗片三角形，光滑。花紅紫色或帶紅紫色條紋；花梗直立，長15-25 cm。蒴果卵狀圓形。",全島低海拔地區，常寄生於芒草根上。
514,木蘭植物門,木蘭綱,玄參目,木犀科,女貞屬,小實女貞,"灌木或小喬木；幼枝略被毛。葉紙質，長3.5-8 cm，先端鈍圓至略凹；葉柄長3-18 mm。花序頂生，約具12對分枝。花冠筒長約1.1 mm。     全島中低海拔開闊地或裸岩上。",全島中低海拔開闊地或裸岩上。
515,木蘭植物門,木蘭綱,玄參目,木犀科,女貞屬,日本女貞,"小灌木或小喬木；幼枝被短柔毛。葉厚革質，光滑，長3-8 cm，先端漸尖至銳尖，葉脈不明顯；葉柄長0.4-0.8 cm。花序具12輪分枝。花冠筒長2-5mm。",全島低中海拔森林邊緣或開闊地上。
516,木蘭植物門,木蘭綱,玄參目,木犀科,梣屬,白雞油,"小葉5-9，橢圓或歪卵或披針形，全緣， 先端銳尖或漸尖 (具鈍頭)。       半落葉喬木；幹皮灰紅褐色或綠色，小薄片狀剝落，留有雲形剝落痕；奇數羽狀複葉；小葉5~10枚，全緣，長5~6cm，兩端漸尖。堅果先端伸長成翅果狀。",全島中低海拔山區。
517,木蘭植物門,木蘭綱,玄參目,木犀科,流蘇樹屬,厚葉李欖,"常綠小喬木。葉厚革質，先端漸尖或短突尖；葉柄長約1 cm，光滑。花冠裂片厚，長橢圓形，長約2.4 mm。",僅生於蘭嶼。
518,木蘭植物門,木蘭綱,玄參目,木犀科,流蘇樹屬,流蘇樹,"落葉灌木或喬木。葉紙質，先端鈍或略凹，下表面中脈明顯被毛；葉柄被毛。花冠裂片線狀匙形，長1.1-1.4 cm。      落葉灌木或小喬木。葉對生，紙質，先端鈍或略凹，下表面中脈明顯被毛。花冠白色，裂片線狀匙形，長1.1 ~ 1.4 cm；雄蕊2枚。",北部低海拔地區。
519,木蘭植物門,木蘭綱,玄參目,木犀科,流蘇樹屬,紅頭李欖,"常綠小喬木。葉近革質，先端鈍或漸尖；葉柄長約3 cm，光滑。花冠裂片線狀橢圓形，長約1.6 mm。",僅生於蘭嶼。
520,木蘭植物門,木蘭綱,玄參目,木犀科,素馨屬,山素英,"小枝柔軟，幼時略被毛。單葉，紙或近革質，卵或披針形，長2-5.5 cm，全緣或有時波狀緣，基部3或5出脈。花常為3朵聚繖花序或單生；萼及花冠裂片7-11。果圓形，黑色。",全島中低海拔平地或山區。生於恆春半島草生地上者葉小且厚，此可能與該地區風大且土壤乾燥有關。
521,木蘭植物門,木蘭綱,玄參目,爵床科,九頭獅子草屬,長花九頭獅子草,"葉披針、長橢圓或長橢圓狀卵形，長2-7.5 cm，寬1-3.5 cm，兩面光滑或僅下表面脈上略被毛。花紅紫色。果長1.5-2 cm。",中部及南部低或中海拔地區。
522,木蘭植物門,木蘭綱,玄參目,爵床科,九頭獅子草屬,九頭獅子草,"葉披針、卵或卵狀長橢圓形，長3-6 cm，寬1-3 cm，兩面疏被短柔毛。花粉紅至淡紫色。果長1-1.2 cm。",北部低中海拔山區。
523,木蘭植物門,木蘭綱,玄參目,爵床科,半插花屬,恆春半插花,"草本；莖極短，密被毛。葉近基生，長橢圓形，長5-6 cm，先端鈍或圓，基部近心形，圓齒緣，上表面密被毛。花淡藍紫色。",分布於蘭嶼及恆春半島。
524,木蘭植物門,木蘭綱,玄參目,爵床科,半插花屬,匍匐半插花,"莖細長，匍匐，節上生根，被微毛。葉長橢圓狀卵形至圓形，長1.5-2.5 cm，先端鈍或圓形，基部截形或略心形，上表面被長毛。花白色。",僅分布蘭嶼。
525,木蘭植物門,木蘭綱,玄參目,爵床科,半插花屬,直立半插花,"莖直立，高達40 cm，幼莖被刺毛。葉橢圓狀披針形，長5-8 cm，先端銳尖至漸尖，基部漸狹且延生至柄，淺圓齒緣。花白色。",僅分布於蘭嶼。
526,木蘭植物門,木蘭綱,玄參目,爵床科,哈哼花屬,菲律賓哈哼花,草本。具直立莖。葉基生，以長橢圓形居多。,分佈於菲律賓群島，臺灣發現於恆春半島。
527,木蘭植物門,木蘭綱,玄參目,爵床科,哈哼花屬,哈哼花,"屬特徵:草本。葉全緣。花序總狀；苞片及小苞片均小；萼5深裂；花冠筒由下往上漸寬，5裂片近相等；雄蕊4，2強，花藥2室；子房每室具多數胚珠。蒴果，長橢圓形，具15-30粒種子。 種特徵:莖極短，密被毛。葉近基生，倒披針形，長3-7 cm，寬1-2 cm，先端鈍或圓，波狀或淺圓鋸緣，下表面脈上密被毛。",僅見於北部台北近郊。
528,木蘭植物門,木蘭綱,玄參目,爵床科,尖尾鳳屬,花蓮爵床,"草本，高達40 cm，被銹色柔毛。葉膜質，長橢圓狀披針形，長8-10 cm，下表面脈上被疏毛。花數朵簇生葉腋。花白色，具紫色斑點。",僅分布於花蓮天祥一帶。
529,木蘭植物門,木蘭綱,玄參目,爵床科,擬馬偕花屬,尼氏擬馬偕花,"屬特徵:草本。葉具因葉片下延之狹翼。總狀或圓錐花序。花單生於小苞片腋處；萼裂片5；花冠筒長而細，裂片5而近相等；雄蕊4，花藥橢圓形，2室等大。蒴果，棍棒狀，具4種子。 種特徵:莖方形。葉膜質，闊橢圓或長橢圓狀披針形，長15-20 cm，下方者具柄，上方者近無柄。花粉紅色。",僅見於溪頭一帶森林中。
530,木蘭植物門,木蘭綱,玄參目,爵床科,明萼草屬,明萼草,"莖略被短柔毛。葉長1.5-8 cm，寬1-3 cm，全緣，有時略波狀緣；葉柄長0.5-3 cm。無花之苞片橢圓形。花淡紫藍色。",東部或南部之低海拔山區。
531,木蘭植物門,木蘭綱,玄參目,爵床科,明萼草屬,台灣明萼草,"莖略被刺毛。葉長2.5-8 cm，寬1-3.5 cm，疏齒緣；葉柄長1-3 cm。無花之苞片鐮刀狀披針形。花淡紫藍色。",中部之南投及嘉義山區。
532,木蘭植物門,木蘭綱,玄參目,爵床科,槍刀菜屬,六角英,花序穗狀；苞片合生。,中部及南部低海拔地區。
533,木蘭植物門,木蘭綱,玄參目,爵床科,槍刀菜屬,槍刀菜,花序圓錐狀長聚繖花序；苞片分離。,南部及台東低海拔地區。
534,木蘭植物門,木蘭綱,玄參目,爵床科,水蓑衣屬,大安水蓑衣,"植株高達50 cm。葉披針至橢圓形，長6-12 cm，寬2-4 cm，兩面密被白色剛毛。花淡紫色，簇生葉腋。",中部及南部低海拔地區，水塘中。
535,木蘭植物門,木蘭綱,玄參目,爵床科,水蓑衣屬,小獅子草,"植株高僅20 cm。葉狹長橢圓形或匙形，長8-15 mm，寬3-5 mm，兩面略被短柔毛。花排成長約1 cm之穗狀花序。",全島低海拔地區，稀少。
536,木蘭植物門,木蘭綱,玄參目,爵床科,水蓑衣屬,柳葉水蓑衣,"植株高達80 cm。葉線狀披針形或倒披針形，長3-8 cm，寬7-15 mm，兩面略被刺毛。花淡紫色，簇生。",全島低海拔地區，濕地上。
537,木蘭植物門,木蘭綱,玄參目,爵床科,水蓑衣屬,水蓑衣,"植株高達60 cm。葉披針至線狀披針形，長5-10 cm，寬5-12 mm，下表面疏被疏柔毛。花簇生葉腋。",北部低海拔地區池塘或稻田旁水溝中。
538,木蘭植物門,木蘭綱,玄參目,爵床科,華九頭獅子草屬,華九頭獅子草,"屬特徵:草本。葉卵形，全緣。花排列成短聚繖花序，常2朵花包被於2苞片內；小苞片小；花萼5深裂；花冠2唇形；雄蕊2，花藥之2室呈上下排列；子房2室；每室2胚珠。蒴果卵球形，具4種子。 種特徵:莖之節常膨大。葉紙質，長2-7 cm，先端漸尖或短漸尖，兩面光滑。花粉紅色；花冠長約1.2 cm。",分布於中及南部低海拔溪邊、路旁或林緣。
539,木蘭植物門,木蘭綱,玄參目,爵床科,蘆利草屬,蘆利草,"葉狹披針形至線狀披針形。果長1.2-1.5 cm。",分布於恆春半島低海拔地區。
540,木蘭植物門,木蘭綱,玄參目,爵床科,賽山藍屬,賽山藍,"屬特徵:草本；莖散生毛或近光滑。葉卵形，近全緣。穗狀花序，頂生；苞片大，葉狀，明顯具緣毛；小苞片2，線形。花萼5裂，裂片線形，背面被疏毛。花冠白色，5裂，近相等；可孕雄蕊4，2強。蒴果，卵形，具多粒種子。 種特徵:植株高約50 cm。葉長3-6 cm，先端銳尖，基部鈍或圓，上表面疏被糙毛，下表面近光滑。",原產熱帶美洲，近年來歸化，於臺灣南部。
541,木蘭植物門,木蘭綱,玄參目,爵床科,針刺草屬,針刺草,"莖略被短柔毛。葉膜質，卵或橢圓形，長2.5-8 cm，先端漸尖，基部銳尖或鈍，上表面綠色，不具白色網紋。花具短柄。",常見，於全島低海拔闊葉林中。
542,木蘭植物門,木蘭綱,玄參目,爵床科,銀脈爵床屬,銀脈爵床,"莖被短柔毛。葉膜質，卵或闊卵形，長0.7-2.2 cm，先端鈍，基部寬楔形，上表面綠色並具白色網紋。花無柄。",東部海岸山脈低海拔森林中。
543,木蘭植物門,木蘭綱,玄參目,爵床科,馬藍屬,腺萼馬藍,"灌木；上方枝被長粗毛。葉長橢圓狀披針形，長6-15 cm，寬2-5 cm，基部漸狹，兩面近光滑。花3或多朵成頭狀之聚繖花序；萼密被腺毛。",中及南部由低至中海拔山區森林中。
544,木蘭植物門,木蘭綱,玄參目,爵床科,馬藍屬,曲莖馬藍,半灌木；枝光滑，常成之字形彎曲，具狹翼。葉於一般莖上者基部漸狹而具柄，於開花莖上者基部常呈心形而近無柄。花排成穗狀，藍紫色。,中部和南部中海拔山區及蘭嶼森林中。
545,木蘭植物門,木蘭綱,玄參目,爵床科,馬藍屬,馬藍,"半灌木；幼枝被褐色短柔毛。葉膜質，倒卵、橢圓或卵形，長7-20 cm，寬3-8 cm，基部漸狹，幼時下表面脈上被褐色短柔毛。花無梗，對生而排成穗狀，淡紫色。",北部及中部低海拔山區森林中。
546,木蘭植物門,木蘭綱,玄參目,爵床科,馬藍屬,台灣馬藍,"半灌木；枝密被長硬毛。葉線狀橢圓形或披針形，長7-14 cm，寬2-4 cm，基部漸狹，兩面密被長硬毛。聚繖花序。",北部低海拔山區森林中。
547,木蘭植物門,木蘭綱,玄參目,爵床科,馬藍屬,長穗馬藍,"灌木；枝光滑。葉長橢圓至披針形，長10-30 cm，寬3-9 cm，兩面光滑。花成對生而排成穗狀，淡紫色至白色。",恆春半島森林中。
548,木蘭植物門,木蘭綱,玄參目,爵床科,骨丹屬,尖尾鳳,"小灌木，高達80 cm。葉狹披針形，長6-10 cm，寬1-1.5 cm。花白色，具紫色斑點；萼5裂。蒴果，棒狀。",早期引進，而後逸出生於全島。
549,木蘭植物門,木蘭綱,玄參目,爵床科,鱗球花屬,小琉球鱗球花,"草本。葉卵至卵狀披針形，長1.5-2 cm，基部近心形或截形，兩面略被短毛。花序近頭狀。",僅分布於小琉球。
550,木蘭植物門,木蘭綱,玄參目,爵床科,鱗球花屬,柳葉鱗球花,"半灌木草本。葉線或線狀披針形，長4-6 cm，寬5-8 mm，基部漸狹，兩面光滑。穗狀花序。果圓錐形。",恆春半島。
551,木蘭植物門,木蘭綱,玄參目,爵床科,鱗球花屬,台灣鱗球花,"半灌木草本。葉卵狀披針形，長8-10 cm，基部漸狹，上表面沿脈被糙毛；葉柄長達2.5 cm。穗狀花序。果圓錐形。",全島低海拔地區。
552,木蘭植物門,木蘭綱,玄參目,爵床科,鱗球花屬,卵葉鱗球花,"草本。葉卵形，長2-4 cm，基部圓或截形，兩面光滑；葉柄長5-15 mm。穗狀花序。果圓錐形。",僅分布蘭嶼。
553,木蘭植物門,木蘭綱,玄參目,爵床科,,蘭嵌馬藍,"草本；莖柔軟，平臥地上。葉闊卵或闊橢圓形，長2-5 cm，寬2-3 cm，基部突尖或近圓形，兩面光滑或疏被長粗毛。花單生葉腋，帶藍色。",中部中海拔山區及海岸山脈森林中。
554,木蘭植物門,木蘭綱,玄參目,狸藻科,狸藻屬,挖耳草,走莖纖細。葉少至多數，葉片狹線形或線狀倒披針形，全緣，先端圓或略銳尖。捕蟲囊多於葉上，球形，具短柄，開口基部具2彎曲刺狀附屬物。花序光滑，具鱗片，具基生苞片。花黃色。果梗明顯彎曲。,全島低海拔地區水池或稻田中。
555,木蘭植物門,木蘭綱,玄參目,狸藻科,狸藻屬,黃花狸藻,"地下莖缺。莖浮於水面或於泥地蔓生，長30-100 cm。葉狀深裂，裂片多，線形；葉耳半圓形，羽裂。捕蟲囊歪卵形，開口不具或具2刺狀附屬物。花序直立，光滑，無鱗片；苞片基生。花黃色。果球形，果梗平直。",全島低海拔地區水塘、水溝、河流兩岸積水處或稻田中。
556,木蘭植物門,木蘭綱,玄參目,狸藻科,狸藻屬,長距挖耳草,"捕蟲囊疏鬆排於莖，地下莖及葉上；地下莖絲狀。葉小，線至倒卵狀鏟形。捕蟲囊卵形，囊口具一長喙，喙緣具許多腺體。根生花軸細長，長10-25 cm，少數具鱗片；苞片中著。花常4-10，紫紅色，小花梗極短。蒴果球形，包於宿存花萼內且與之等長。",全島低至中海拔濕地。
557,木蘭植物門,木蘭綱,玄參目,狸藻科,狸藻屬,圓葉挖耳草,"多年生草本，捕蟲囊排列於莖上。地下莖絲狀，帶白色。葉鏟狀圓形；葉柄長1.5-5 mm。根生花軸細長，光滑，具少數鱗片；苞片中著。花淡紫色，中央帶黃色，下唇2-6波浪狀牙齒狀裂，距直接向後，與下唇等長或稍長。蒴果球形。",全島低海拔集中部中海拔]地區潮濕岩壁或潮濕地上。
558,木蘭植物門,木蘭綱,玄參目,狸藻科,狸藻屬,小狸藻,"浮水或生於水中具細長莖之水生草本。葉長小於1 cm，稀疏牙齒狀，具叉狀分枝，最終裂片扁平。捕蟲囊相當少，斜卵形，短柄，開口兩側具單生毛，且上半部具2長分枝毛。花不詳。",僅見於宜蘭縣神秘湖中。
